Year; Week; 0-5; 5-10; 10-15; 15-20; 20-25; 25-30; 30-35; 35-40; 40-45; 45-50; 50-55; 55-60; 60-65; 65-70; 70-75; 75-80; 80-85; 85-90; 90-95; 95-100; 100+ 
1982; 1;  0.00;  0.00;  0.00;  0.00;  0.00;  0.09;  1.30;  2.51;  6.89; 10.06; 26.72; 34.54; 12.66;  3.63;  1.02;  0.37;  0.09;  0.09;  0.00;  0.00;  0.00;
1982; 2;  0.00;  0.00;  0.00;  0.00;  0.09;  0.84;  2.98;  6.42; 10.80; 15.55; 28.86; 25.14;  6.33;  1.77;  0.84;  0.28;  0.09;  0.00;  0.00;  0.00;  0.00;
1982; 3;  0.00;  0.00;  0.00;  0.00;  0.84;  4.38;  7.17; 13.04; 19.27; 18.44; 23.37; 10.61;  1.30;  1.12;  0.47;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 4;  0.00;  0.00;  0.19;  0.93;  3.82;  8.10; 16.48; 20.67; 20.30; 14.80; 10.89;  2.70;  0.56;  0.37;  0.19;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 5;  0.00;  0.09;  0.56;  3.35; 10.24; 17.32; 22.72; 18.99; 14.25;  6.33;  4.75;  0.84;  0.47;  0.00;  0.09;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 6;  0.00;  0.28;  1.77;  7.91; 17.23; 19.74; 21.69; 14.62;  9.40;  4.28;  1.86;  0.74;  0.37;  0.09;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 7;  0.00;  0.28;  1.40;  8.85; 16.57; 23.46; 20.39; 13.59;  9.59;  3.26;  1.49;  0.74;  0.28;  0.09;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 8;  0.00;  0.19;  1.86;  9.22; 17.50; 24.86; 19.65; 13.87;  7.73;  3.17;  1.12;  0.56;  0.28;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982; 9;  0.09;  0.37;  3.54;  8.94; 17.41; 26.82; 18.99; 13.59;  6.61;  1.96;  1.30;  0.37;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;10;  0.00;  0.37;  2.23;  8.57; 16.39; 29.05; 22.44; 12.76;  5.31;  2.61;  0.28;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;11;  0.00;  0.28;  1.40;  5.77; 17.41; 27.37; 23.28; 14.90;  7.54;  1.77;  0.28;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
1982;12;  0.00;  0.19;  0.93;  3.63; 15.36; 27.65; 26.63; 16.95;  5.96;  2.33;  0.37;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;
